,reward,actor loss,mean qsa,mean action,episodes,critic loss,max qsa,mean frequency,duration
59,-77.96552182813744,893.8297119140625,-4.2991414070129395,-0.33608587529481154,59,0.030284997075796127,-0.5830259919166565,39.96144702801831,199
60,-70.35670451011761,902.0992431640625,-4.491786956787109,-0.2672986090183258,60,0.02613414078950882,-0.5886738300323486,40.50076509664439,199
61,-62.53882094532795,906.4064331054688,-3.55098819732666,-0.050989686245044324,61,0.03070734068751335,-0.4340997040271759,38.34992249221009,199
62,-91.97102754601697,912.1436767578125,-5.196160793304443,0.09917535988740189,62,0.030338268727064133,-0.4786524772644043,37.77759832268926,199
63,-65.0016104135393,919.5951538085938,-3.8969600200653076,-0.16950414324805915,63,0.029856432229280472,-0.45783931016921997,39.76460468371914,199
64,-0.5262428491795645,924.5656127929688,-0.7138511538505554,-0.6051254308232694,64,0.03181076422333717,-0.4150310754776001,39.22351170810845,199
65,-13.393512319863566,920.912353515625,-1.1328136920928955,0.00010706072498578578,65,0.03908452019095421,-0.40832093358039856,39.35670295612979,199
66,-51.47417719222472,917.9326171875,-3.148451089859009,-0.30344723271239227,66,0.030338598415255547,-0.40359023213386536,39.12674320118608,199
67,-26.331570877812837,926.566650390625,-2.086364507675171,-0.1403868973185158,67,0.033533576875925064,-0.3794573247432709,38.737286774954725,199
68,-13.608493249496417,921.739013671875,-1.418067216873169,0.07743838675404771,68,0.03135048970580101,-0.3953610360622406,39.9185053843158,199
69,-13.139835160958238,916.134765625,-1.1147749423980713,-0.0639407201882821,69,0.0295659601688385,-0.41470617055892944,40.176394643340224,199
70,-13.008976702931538,916.9706420898438,-1.1610935926437378,-0.01857924461364746,70,0.03113524802029133,-0.32791420817375183,40.185372724924264,199
71,-13.354349823677367,914.8328247070312,-1.316912055015564,-0.1121523924238719,71,0.03207090497016907,-0.3379739224910736,38.74786810732828,199
72,-24.94697508117795,914.665771484375,-1.7156692743301392,-0.23746734733602917,72,0.02993626892566681,-0.3880673944950104,40.55952252682576,199
73,-13.1361603130958,918.551513671875,-1.2793866395950317,0.01782689469828799,73,0.036653969436883926,-0.3630620837211609,39.750256619530745,199
74,-13.185776570289267,916.8804931640625,-1.1502631902694702,0.011169459832939708,74,0.030912326648831367,-0.3051452040672302,38.64999519933098,199
75,-13.348115579357268,912.2926635742188,-1.1846108436584473,0.09539412707090378,75,0.028830628842115402,-0.2991931736469269,40.00128592038387,199
76,-38.07895783212543,904.207275390625,-2.666637659072876,0.3216142628335016,76,0.033949535340070724,-0.3200148642063141,39.453797569127175,199
77,-39.10467737035615,907.4345092773438,-2.880497455596924,0.0148575559712771,77,0.029936131089925766,-0.3401891887187958,39.2424595105783,199
78,-25.59770596363417,914.547607421875,-1.9670137166976929,-0.11090906303607018,78,0.03014638088643551,-0.28548187017440796,39.06395820786218,199
79,-39.33703619406369,905.7396850585938,-2.837071657180786,-0.2619861266738826,79,0.03324519842863083,-0.3174935579299927,40.81487609072927,199
80,-13.071759582814028,914.0107421875,-1.170518398284912,-0.02021138183772564,80,0.0368051752448082,-0.29427647590637207,40.91270331675393,199
81,-12.376783969205082,903.173828125,-0.98601895570755,-0.16883814941611042,81,0.026101572439074516,-0.32769882678985596,38.84420436838156,199
82,-12.638321098470437,899.7314453125,-1.0645471811294556,0.10871364173771704,82,0.029090482741594315,-0.3020537495613098,39.51014459192516,199
83,-11.951354867071288,898.48583984375,-0.9134986996650696,0.4457229008084912,83,0.03375307470560074,-0.2567870616912842,40.15687837586527,199
84,-46.58614097470498,897.4464721679688,-3.299748182296753,-0.051063724981649294,84,0.02849722094833851,-0.2893509566783905,38.37025832442278,199
85,-38.82453223269728,898.8095092773438,-2.8600504398345947,-0.08516585826873779,85,0.026554293930530548,-0.20805925130844116,40.567169616462195,199
86,-12.86304821191034,899.308349609375,-1.2468615770339966,0.08307565989808258,86,0.034643758088350296,-0.27842628955841064,38.78169059503138,199
87,-50.978801363689925,897.9328002929688,-3.642737627029419,-0.038716674301243655,87,0.03150312602519989,-0.25380656123161316,39.75378482269456,199
88,-26.138296752179613,892.6961669921875,-2.2545130252838135,-0.08851419024735414,88,0.03281816840171814,-0.2456997185945511,41.343261991578586,199
89,-46.52404642817463,888.8806762695312,-3.323270797729492,0.06864538639042392,89,0.03328052908182144,-0.2088623046875,41.2284859723447,199
90,-0.5176467141812022,892.9032592773438,-0.4347773790359497,-0.17952248454093933,90,0.03063068725168705,-0.22511298954486847,40.886620835064555,199
91,-25.871129192733825,882.8872680664062,-2.1031689643859863,-0.09300837921359964,91,0.030947944149374962,-0.2381596565246582,40.22407302191051,199
92,-23.945119261014327,888.444091796875,-1.7701388597488403,-0.10914746808551465,92,0.030165178701281548,-0.18731056153774261,40.720628619403925,199
